,City,Cloud Coverage (%),Country,Humidity (%),Latitude,Longitude,Maximum Temperature (F),Wind Speed (mph)
430,Lodja,48,CD,96,-3.52,23.6,72.71,2.04
431,Parrita,75,CR,64,9.52,-84.33,77.0,12.75
432,Gweta,0,BW,29,-20.21,25.26,69.51,7.85
433,Viedma,0,AR,83,-40.81,-62.99,70.23,4.72
434,Silver City,1,US,23,32.77,-108.28,73.04,17.22
435,Hede,0,CN,83,33.77,120.25,40.04,6.17
436,Mount Pleasant,1,US,40,32.79,-79.86,73.4,4.7
437,Bumba,76,CD,96,2.18,22.47,72.98,2.71
438,Padang,68,ID,100,-0.92,100.36,80.58,4.5
439,Huarmey,8,PE,57,-10.07,-78.15,71.81,3.83
440,Anadyr,75,RU,85,64.73,177.51,10.4,4.47
441,Warrington,40,US,62,40.25,-75.13,55.94,8.05
442,Businga,56,CD,96,3.34,20.89,70.86,2.15
443,Talnakh,64,RU,92,69.49,88.39,16.19,7.29
444,Boddam,75,GB,81,57.47,-1.78,42.8,13.87
445,Chokurdakh,80,RU,87,70.62,147.9,24.29,18.14
446,Gizo,64,SB,100,-8.1,156.84,80.27,8.41
447,Lucapa,8,AO,72,-8.42,20.74,74.91,5.28
448,Emerald,92,AU,89,-23.53,148.16,71.94,11.43
449,Verkhnetulomskiy,0,RU,85,68.61,31.8,15.8,2.24
450,Port Blair,0,IN,99,11.67,92.75,84.77,10.42
451,Adwa,8,ET,68,14.16,38.9,50.12,4.61
452,Khawhai,92,IN,100,23.52,93.19,63.39,1.92
453,Poum,0,NC,100,-20.23,164.02,75.77,18.37
454,Los Llanos de Aridane,68,ES,88,28.66,-17.92,62.6,9.17
455,Maun,0,BW,19,-19.99,23.42,78.8,8.05
456,Tessalit,0,ML,38,20.2,1.01,69.47,3.15
457,North Bend,1,US,69,43.41,-124.22,60.98,11.41
458,Jambi,32,ID,96,-1.6,103.62,73.88,2.26
459,Hanzhong,92,CN,61,33.08,107.03,43.14,2.26
460,Joppatowne,40,US,54,39.42,-76.36,55.94,10.29
461,Bunol,0,ES,43,39.42,-0.78,51.8,9.17
462,Hashtrud,0,IR,68,37.48,47.05,24.74,3.49
463,Kasongo-Lunda,12,CD,94,-6.48,16.82,72.48,2.37
464,Ola,20,RU,100,59.58,151.3,28.4,2.24
465,Rorvik,0,NO,55,64.86,11.24,33.8,14.99
466,Taoudenni,88,ML,36,22.68,-3.98,73.74,7.74
467,Khandbari,36,NP,86,27.38,87.21,34.95,0.36
468,Alim,88,PH,100,9.56,122.49,77.93,9.75
469,Gazanjyk,56,TM,91,39.24,55.52,43.14,2.71
470,Bathsheba,20,BB,74,13.22,-59.52,82.4,8.05
471,Batagay,8,RU,56,67.65,134.64,2.51,2.82
472,Naron,40,ES,87,43.52,-8.15,48.2,16.11
473,Vilhena,75,BR,100,-12.74,-60.15,69.8,6.93
474,Usinsk,0,RU,90,66.0,57.56,17.13,11.1
475,Itarema,0,BR,69,-2.92,-39.92,82.56,14.0
476,Khvoynaya,24,RU,100,58.9,34.53,22.53,7.4
477,Peruibe,12,BR,100,-24.32,-47.0,71.04,15.57
478,Redlands,75,US,22,34.06,-117.19,84.92,5.82
479,Naryan-Mar,88,RU,95,67.67,53.09,21.9,4.72
480,Mukhen,92,RU,92,48.19,136.14,29.24,5.06
481,Maxixe,12,MZ,96,-23.86,35.35,70.95,10.2
482,Mareeba,75,AU,78,-16.99,145.42,80.6,5.82
483,Baykit,44,RU,79,61.68,96.39,27.62,8.52
484,Inirida,20,CO,76,3.87,-67.92,85.8,1.81
485,Kurumkan,0,RU,61,54.33,110.32,7.23,1.81
486,Wanaka,80,NZ,96,-44.7,169.14,38.33,3.71
487,Valparaiso,90,CL,100,-33.04,-71.63,60.8,3.36
488,Hamilton,92,US,80,46.25,-114.15,34.64,2.59
489,Plerin,90,FR,93,48.54,-2.78,48.2,3.36
490,Burriana,0,ES,43,39.89,-0.08,51.8,9.17
491,Pavlodar,90,KZ,93,52.28,76.96,39.2,4.47
492,Hokitika,92,NZ,100,-42.72,170.96,51.96,4.72
493,Westport,92,NZ,100,-41.75,171.6,50.84,2.59
494,Kolyvan,90,RU,92,55.31,82.74,35.6,15.66
495,Bida,0,NG,95,9.08,6.02,74.28,6.62
496,Mantua,0,CU,65,22.29,-84.28,82.07,6.85
497,Novosheshminsk,0,RU,74,55.06,51.22,17.58,7.52
498,Samarinda,48,ID,93,-0.5,117.14,75.45,2.71
499,Rovaniemi,0,FI,92,66.5,25.72,17.6,8.05
500,Mahajanga,0,MG,69,-15.72,46.32,77.0,6.93
501,Road Town,40,VG,69,18.42,-64.62,84.92,1.12
502,Limbang,75,MY,100,4.75,115.0,77.0,1.12
503,Kiama,0,AU,100,-34.67,150.86,53.6,6.17
504,Sur,24,OM,100,22.57,59.53,78.06,4.83
505,San Policarpo,32,PH,100,12.18,125.51,77.66,13.78
506,Ngerengere,68,TZ,76,-6.76,38.13,75.32,3.6
507,Viytivka,0,UA,82,48.43,29.54,48.32,2.93
508,Tura,80,RU,68,64.27,100.22,25.19,9.42
509,Kungurtug,44,RU,86,50.6,97.53,10.43,2.04
510,Cidreira,12,BR,73,-30.17,-50.22,67.8,19.26
511,Keti Bandar,0,PK,95,24.14,67.45,83.01,11.21
512,Korla,0,CN,80,41.76,86.15,25.82,3.38
513,Polovinnoye,76,RU,97,54.79,65.99,27.93,7.96
514,Abengourou,92,CI,99,6.73,-3.5,71.81,3.94
515,Nyaunglebin,48,MM,88,17.95,96.73,75.36,2.59
516,Puerto Leguizamo,0,CO,66,-0.19,-74.78,86.84,5.06
517,Tocache,20,PE,78,-8.19,-76.51,68.66,0.69
518,Kirundo,75,BI,82,-2.59,30.09,64.4,4.7
519,Forrest City,0,US,37,35.01,-90.79,73.04,3.36
520,Sao Pedro do Sul,0,BR,54,-29.62,-54.18,78.8,10.29
521,Malanje,0,AO,77,-9.54,16.35,70.37,5.39
522,Coquimbo,90,CL,87,-29.95,-71.34,57.2,9.17
523,Chara,8,RU,56,56.9,118.26,3.32,1.92
524,Saint-Pierre,90,PM,100,46.77,-56.17,46.4,9.17
525,Dickinson,90,US,95,46.88,-102.79,44.06,8.05
526,Muli,88,MV,100,2.92,73.57,76.89,8.75
527,Parker,75,US,12,39.52,-104.76,79.7,10.29
528,Castanos,5,MX,30,26.78,-101.42,84.2,8.05
529,Krasnofarfornyy,0,RU,88,59.14,31.85,23.88,7.29
530,Clearlake,1,US,30,38.96,-122.63,73.04,11.41
531,Artyom,0,AZ,87,40.47,50.33,59.0,9.17
532,Westport,92,IE,100,53.8,-9.52,41.93,18.81
533,Obrnice,75,CZ,100,50.51,13.7,50.0,2.24
534,Maniitsoq,0,GL,100,65.42,-52.9,22.13,4.61
535,Kumluca,0,TR,52,36.37,30.29,30.32,1.03
536,Popondetta,8,PG,83,-8.77,148.24,71.4,1.81
537,Sept-Iles,90,CA,93,50.2,-66.38,35.6,6.93
538,Ladushkin,90,RU,93,54.57,20.17,39.2,15.66
539,Carbonia,20,IT,76,39.17,8.53,53.6,12.75
540,Sungairaya,0,ID,97,0.7,108.9,73.74,1.7
541,Sabha,64,LY,67,27.03,14.43,70.19,2.59
542,Avanigadda,76,IN,82,16.02,80.92,78.11,9.53
543,Kletskaya,68,RU,84,49.31,43.06,50.57,9.75
544,Batemans Bay,0,AU,97,-35.71,150.18,57.63,5.06
545,Bijar,0,IR,75,35.87,47.6,27.93,2.71
546,Sao Jose dos Pinhais,40,BR,82,-25.53,-49.21,62.6,8.05
547,Wanxian,92,CN,90,30.8,108.39,50.66,2.71
548,Loknya,92,RU,95,54.21,39.24,31.58,15.68
549,Dubbo,0,AU,63,-32.25,148.6,62.6,10.29
